0##解锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '解锁页面', 'queryRewrite': '解锁页面', 'queryCorrection': '解锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '解锁页面', 'queryCorrectionScene': '解锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
1##切换到调整降地锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '切换到调整降地锁设置', 'queryRewrite': '切换到调整降地锁设置', 'queryCorrection': '切换到调整降地锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '切换到调整降地锁设置', 'queryCorrectionScene': '切换到调整降地锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
2##切换调整解地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '切换调整解地锁所在界面', 'queryRewrite': '切换调整解地锁所在界面', 'queryCorrection': '切换调整解地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '切换调整解地锁所在界面', 'queryCorrectionScene': '切换调整解地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
3##到调节充电桩详情页位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '到调节充电桩详情页位置', 'queryRewrite': '到调节充电桩详情页位置', 'queryCorrection': '到调节充电桩详情页位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '到调节充电桩详情页位置', 'queryCorrectionScene': '到调节充电桩详情页位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
4##去到调整充电桩详情页界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '去到调整充电桩详情页界面', 'queryRewrite': '去到调整充电桩详情页界面', 'queryCorrection': '去到调整充电桩详情页界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '去到调整充电桩详情页界面', 'queryCorrectionScene': '去到调整充电桩详情页界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
5##去到调节降地锁位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '去到调节降地锁位置', 'queryRewrite': '去到调节降地锁位置', 'queryCorrection': '去到调节降地锁位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '去到调节降地锁位置', 'queryCorrectionScene': '去到调节降地锁位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
6##可不可以切换到调解地锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '可不可以切换到调解地锁页面', 'queryRewrite': '可不可以切换到调解地锁页面', 'queryCorrection': '可不可以切换到调解地锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '可不可以切换到调解地锁页面', 'queryCorrectionScene': '可不可以切换到调解地锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
7##可不可以切换调地锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '可不可以切换调地锁设置', 'queryRewrite': '可不可以切换调地锁设置', 'queryCorrection': '可不可以切换调地锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '可不可以切换调地锁设置', 'queryCorrectionScene': '可不可以切换调地锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
8##可不可以切换调节地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '可不可以切换调节地锁所在界面', 'queryRewrite': '可不可以切换调节地锁所在界面', 'queryCorrection': '可不可以切换调节地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '可不可以切换调节地锁所在界面', 'queryCorrectionScene': '可不可以切换调节地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
9##可不可以回到调降锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '可不可以回到调降锁地方', 'queryRewrite': '可不可以回到调降锁地方', 'queryCorrection': '可不可以回到调降锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '可不可以回到调降锁地方', 'queryCorrectionScene': '可不可以回到调降锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
10##告诉我切换到调节解锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '告诉我切换到调节解锁页面', 'queryRewrite': '告诉我切换到调节解锁页面', 'queryCorrection': '告诉我切换到调节解锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '告诉我切换到调节解锁页面', 'queryCorrectionScene': '告诉我切换到调节解锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
