77##帮忙调出调整充电桩降锁界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮忙调出调整充电桩降锁界面', 'queryRewrite': '帮忙调出调整充电桩降锁界面', 'queryCorrection': '帮忙调出调整充电桩降锁界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮忙调出调整充电桩降锁界面', 'queryCorrectionScene': '帮忙调出调整充电桩降锁界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
78##帮忙调出调整充电桩降锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮忙调出调整充电桩降锁设置', 'queryRewrite': '帮忙调出调整充电桩降锁设置', 'queryCorrection': '帮忙调出调整充电桩降锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮忙调出调整充电桩降锁设置', 'queryCorrectionScene': '帮忙调出调整充电桩降锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
79##帮忙调出调整充电站详情页位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮忙调出调整充电站详情页位置', 'queryRewrite': '帮忙调出调整充电站详情页位置', 'queryCorrection': '帮忙调出调整充电站详情页位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮忙调出调整充电站详情页位置', 'queryCorrectionScene': '帮忙调出调整充电站详情页位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
80##帮忙调出调整降锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮忙调出调整降锁设置', 'queryRewrite': '帮忙调出调整降锁设置', 'queryCorrection': '帮忙调出调整降锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮忙调出调整降锁设置', 'queryCorrectionScene': '帮忙调出调整降锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
81##帮忙选择调地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮忙选择调地锁所在界面', 'queryRewrite': '帮忙选择调地锁所在界面', 'queryCorrection': '帮忙选择调地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮忙选择调地锁所在界面', 'queryCorrectionScene': '帮忙选择调地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
82##帮我切换到调节降锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我切换到调节降锁地方', 'queryRewrite': '帮我切换到调节降锁地方', 'queryCorrection': '帮我切换到调节降锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我切换到调节降锁地方', 'queryCorrectionScene': '帮我切换到调节降锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
83##帮我切换调地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我切换调地锁所在界面', 'queryRewrite': '帮我切换调地锁所在界面', 'queryCorrection': '帮我切换调地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我切换调地锁所在界面', 'queryCorrectionScene': '帮我切换调地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
84##帮我切换调节充电桩降锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我切换调节充电桩降锁设置', 'queryRewrite': '帮我切换调节充电桩降锁设置', 'queryCorrection': '帮我切换调节充电桩降锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我切换调节充电桩降锁设置', 'queryCorrectionScene': '帮我切换调节充电桩降锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
85##帮我到充电站详情页位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我到充电站详情页位置', 'queryRewrite': '帮我到充电站详情页位置', 'queryCorrection': '帮我到充电站详情页位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我到充电站详情页位置', 'queryCorrectionScene': '帮我到充电站详情页位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
86##帮我到调整地锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我到调整地锁页面', 'queryRewrite': '帮我到调整地锁页面', 'queryCorrection': '帮我到调整地锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我到调整地锁页面', 'queryCorrectionScene': '帮我到调整地锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
87##帮我告诉我调充电桩解地锁界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '帮我告诉我调充电桩解地锁界面', 'queryRewrite': '帮我告诉我调充电桩解地锁界面', 'queryCorrection': '帮我告诉我调充电桩解地锁界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '帮我告诉我调充电桩解地锁界面', 'queryCorrectionScene': '帮我告诉我调充电桩解地锁界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
